gene	transcript	shNS_R1	shNS_R2	shNS_R3	shRUNX1_R1	shRUNX1_R2	shRUNX1_R3
LINC00690	NR_103843	0.00	0.00	0.00	0.00	0.00	0.00
EIF2AK1	NM_001134335,NM_014413	1119.91	1535.61	708.01	1194.02	1640.06	1501.22
HOMEZ	NM_020834	164.99	284.63	113.85	244.11	279.32	294.15
LOC101927159	NR_110004	0.00	0.00	0.00	0.00	0.00	0.00
MIR520B	NR_030195	0.00	0.00	0.00	0.00	0.00	0.00
C9orf85	NM_182505	59.00	87.00	29.00	58.00	44.00	43.00
SNF8	NM_007241	454.00	735.00	346.00	610.00	749.00	709.00
AFG3L2	NM_006796	538.00	907.00	379.00	635.00	770.00	679.00
TSEN2	NM_001145392,NM_001145393,NM_001145394,NM_001145395,NM_025265	126.00	165.00	81.00	102.00	154.00	125.00
ZSCAN16-AS1	NR_103455,NR_103456	6.00	4.00	1.00	4.00	8.00	10.00
SERTAD2	NM_014755	64.00	68.00	49.00	101.00	112.00	99.00
UVRAG	NM_003369	387.00	506.00	237.00	354.00	369.00	294.00
MYOZ2	NM_016599	0.00	2.00	0.00	1.00	0.00	0.00
YIPF7	NM_182592	0.00	0.00	0.00	0.00	0.00	0.00
SEH1L	NM_001013437,NM_031216	293.00	425.00	198.00	334.00	481.00	418.00
UBE2V2	NM_003350	446.00	625.00	280.00	418.00	386.00	320.00
YEATS2	NM_018023	254.00	446.00	206.00	295.00	404.00	322.00
ZER1	NM_006336	458.00	732.00	343.00	552.00	525.00	521.00
ZNF775	NM_173680	13.00	20.00	8.00	30.00	11.00	13.00
HIST1H3J	NM_003535	45.00	71.00	29.00	370.00	491.00	424.00
MIR3119-1	NR_036064	0.00	0.00	0.00	0.00	0.00	0.00
MIR338	NR_029897	0.00	0.00	0.00	0.00	0.00	0.00
PECAM1	NM_000442	1.00	0.00	0.00	0.00	0.00	0.00
MIR99AHG	NR_027790,NR_027791,NR_111004,NR_111005	7.00	13.00	9.00	6.00	11.00	4.00
UBE2Q2P1	NR_003661	14.18	13.99	15.26	14.00	11.00	8.00
HIST3H3	NM_003493	2.00	2.00	0.00	1.00	0.00	0.00
ARHGAP22	NM_001256024,NM_001256025,NM_001256026,NM_021226,NR_045675	3.00	3.00	3.00	0.00	3.00	2.00
EPHX2	NM_001256482,NM_001256483,NM_001256484,NM_001979	13.00	14.00	4.00	39.00	34.00	15.00
MIR1295A	NR_031627	0.00	0.00	0.00	0.00	0.00	0.00
APH1A	NM_001077628,NM_001243771,NM_001243772,NM_016022,NR_045033,NR_045034,NR_045035	1906.00	2943.00	1300.00	2095.00	2123.00	1960.00
ARHGEF26-AS1	NR_037901	8.00	2.00	5.00	2.13	2.64	5.00
CHST10	NM_004854	132.00	182.00	84.00	166.00	123.00	92.00
KHDRBS2	NM_152688	0.00	0.00	0.00	0.00	0.00	0.00
B4GALNT3	NM_173593	49.00	91.00	34.00	96.00	25.00	24.00
MIR548H5	NR_039610	0.00	0.00	0.00	0.00	0.00	0.00
MRPL44	NM_022915	187.00	290.00	132.00	139.00	204.00	236.00
MIR103B1	NR_031721	0.00	0.00	0.00	0.00	0.00	0.00
GFM1	NM_024996	737.00	1090.00	516.00	623.00	685.00	639.00
MYCT1	NM_025107	0.00	0.00	0.00	0.00	0.00	0.00
KCNA10	NM_005549	0.00	0.00	0.00	0.00	0.00	0.00
OR10A6	NM_001004461	0.00	0.00	0.00	0.00	0.00	0.00
PIWIL4	NM_152431	9.00	12.00	6.00	18.00	6.00	6.00
ANKRD26P1	NR_026556	0.00	0.00	0.00	0.00	0.00	1.00
SYNCRIP	NM_001159673,NM_001159674,NM_001159675,NM_001159676,NM_001159677,NM_001253771,NM_006372	1775.00	2542.00	1182.00	2084.00	2784.00	2569.00
PEX12	NM_000286	36.00	48.00	28.00	28.00	33.00	28.00
ALDH3B2	NM_000695,NM_001031615	397.43	577.00	264.70	509.03	470.40	420.14
TMEM60	NM_032936	223.00	326.00	140.00	167.00	167.00	184.00
HNRNPM	NM_001297418,NM_005968,NM_031203	612.00	1027.00	444.00	1005.00	1511.00	1419.00
ZNF823	NM_001080493,NM_001297610,NM_017507	139.00	166.00	77.00	149.00	166.00	131.00
PER2	NM_022817	202.00	341.00	164.00	207.00	242.00	249.00
LOC440117	NR_033970	0.00	0.00	0.00	0.00	0.00	0.00
SNORD113-5	NR_003233	0.00	0.00	0.00	0.00	0.00	0.00
PPP4R1	NM_001042388,NM_005134,NR_052003	391.00	655.00	285.00	445.00	531.00	476.00
LOC100506675	NR_120526,NR_120527	0.00	0.00	0.00	0.00	0.00	0.00
MIR140	NR_029681	0.00	0.00	0.00	0.00	0.00	0.00
LOC101929431	NR_120660	4.68	11.58	4.00	4.00	4.87	3.05
S100G	NM_004057	0.00	0.00	1.00	0.00	0.00	0.00
ZBTB24	NM_001164313,NM_014797	274.12	408.61	191.73	205.73	262.32	232.19
CLN5	NM_006493	186.00	304.00	139.00	146.00	83.00	86.00
MMP15	NM_002428	198.00	294.00	149.00	204.00	235.00	237.00
BLOC1S5-TXNDC5	NR_037616	287.69	273.99	97.03	172.52	198.20	300.04
LINC01567	NR_122072	0.00	0.00	0.00	0.00	0.00	0.00
RGS16	NM_002928	66.00	100.00	45.00	51.00	28.00	30.00
ZNF320	NM_207333	1.01	0.00	0.00	0.00	1.04	2.10
MIAT	NR_003491,NR_033319,NR_033320,NR_033321	16.53	22.00	9.00	12.20	16.59	15.42
MIR4507	NR_039730	0.00	0.00	0.00	0.00	0.00	0.00
FUK	NM_145059	168.00	250.00	107.00	158.00	134.00	120.00
OSBPL10	NM_001174060,NM_017784	359.00	531.00	249.00	324.00	417.00	354.00
SLFN13	NM_144682	0.00	0.00	0.00	0.00	0.00	0.00
LOC101927730	NR_110841	0.00	0.00	0.00	0.00	0.00	0.00
PCGF2	NM_007144	9.61	19.40	18.85	16.21	44.12	36.31
TM4SF18	NM_001184723,NM_138786	15.00	31.00	16.00	0.00	4.00	1.00
ANO9	NM_001012302	120.00	184.00	94.00	46.00	36.00	28.00
MIR4295	NR_036177	0.00	0.00	0.00	0.00	0.00	0.00
ANXA6	NM_001155,NM_001193544	295.00	465.00	213.00	694.00	547.00	555.00
PGM5P2	NR_002836	39.88	49.80	28.41	38.49	43.04	44.74
TRAPPC3	NM_001270894,NM_001270895,NM_001270896,NM_001270897,NM_014408,NR_073097,NR_073098	370.00	504.00	239.00	358.00	398.00	347.00
AA06	NR_037584	0.00	0.00	0.00	0.00	0.00	0.00
FAM105A	NM_019018	51.00	44.00	21.00	16.00	34.00	28.00
BTBD8	NM_183242	10.00	6.00	4.00	8.00	9.00	6.00
LINC00163	NR_033840	0.00	2.00	2.00	2.00	0.00	1.00
KLRF2	NM_001190765	0.00	0.00	0.00	0.00	0.00	0.00
TBXAS1	NM_001061,NM_001130966,NM_001166253,NM_001166254,NM_030984,NR_029394	0.00	2.00	0.00	1.00	2.00	3.00
GGPS1	NM_001037277,NR_036605	231.52	368.00	176.00	238.00	181.00	179.92
USP45	NM_001080481	110.00	156.00	76.00	65.00	85.00	64.00
MUC19	NM_173600	13.00	30.00	10.00	2.00	2.00	4.00
C1QL4	NM_001008223	4.00	16.00	6.00	6.00	11.00	3.00
CARD17	NM_001007232	0.00	0.00	0.00	0.00	0.00	0.00
HSD17B7P2	NR_003086	31.00	74.18	42.37	17.20	17.19	19.00
PTGR1	NM_001146108,NM_001146109,NM_012212	74.00	121.00	51.00	127.00	192.00	172.00
OR4P4	NM_001004124	0.00	0.00	0.00	0.00	0.00	0.00
LOC441204	NR_015364	1.00	0.00	0.00	0.00	0.00	0.00
CASP3	NM_004346,NM_032991	65.00	100.00	46.00	56.00	59.00	58.00
ERI3	NM_001301698,NM_001301699,NM_001301700,NM_001301701,NM_024066	198.00	296.00	146.00	224.00	308.00	283.00
ARHGAP26	NM_001135608,NM_015071	193.90	266.89	132.00	107.00	93.00	90.00
URGCP	NM_001077663,NM_001077664,NM_001290075,NM_001290076,NM_017920	236.00	374.00	154.00	329.34	407.39	355.00
MIR196B	NR_029911	0.00	0.00	0.00	0.00	0.00	0.00
LOC100506444	NR_125918	0.00	0.00	0.00	0.00	0.00	0.00
DALRD3	NM_001009996,NM_001276405,NM_018114	72.88	103.99	55.28	139.40	141.43	119.59
RNF180	NM_001113561,NM_178532	18.00	20.00	17.00	18.00	23.00	26.00
LRRC59	NM_018509	1604.78	2542.81	1107.51	1681.37	2515.65	2223.20
RPSAP9	NR_026890	2.27	15.99	2.82	7.15	0.00	2.37
DLEU7	NM_198989	9.00	15.00	4.00	7.00	6.00	6.00
SGCZ	NM_139167	0.00	0.00	0.00	0.00	0.00	0.00
SLC24A1	NM_001254740,NM_001301031,NM_001301032,NM_001301033,NM_004727	106.00	203.49	92.26	147.40	198.00	204.00
C2orf50	NM_182500	2.00	1.00	1.00	0.00	3.00	3.00
MIR557	NR_030284	0.00	0.00	0.00	0.00	0.00	0.00
ASCL1	NM_004316	12.00	22.00	5.00	16.00	21.00	27.00
COMMD9	NM_001101653,NM_014186	117.00	160.00	73.00	101.00	142.00	121.00
PPP3R2	NM_147180	0.00	0.00	0.00	0.00	0.00	0.00
ZCCHC4	NM_024936	42.00	70.00	29.00	32.00	42.00	32.00
DPH7	NM_138778	213.00	307.00	131.00	115.00	163.00	148.00
MIR635	NR_030365	0.00	0.00	0.00	0.00	0.00	0.00
VWDE	NM_001135924	19.00	21.00	18.00	50.00	74.00	49.00
PP7080	NR_024158	206.00	348.00	130.00	173.00	165.00	171.00
LIPF	NM_001198828,NM_001198829,NM_001198830,NM_004190	0.00	0.00	0.00	1.00	0.00	0.00
SNORD37	NR_002602	0.00	0.00	0.00	0.00	0.00	0.00
LOC101929596	NR_110259	2.00	0.00	1.00	3.00	0.00	1.00
LOC401242	NR_033379	0.00	3.00	0.00	0.00	0.00	0.00
MIR4436A	NR_039635	0.00	0.00	0.00	0.00	0.00	0.00
UBE2H	NM_001202498,NM_003344,NM_182697	925.00	1449.00	640.00	976.00	709.00	604.00
SMPD1	NM_000543,NM_001007593	57.00	88.00	41.00	41.00	42.00	40.00
LTBP2	NM_000428	43.00	88.00	34.00	52.00	73.00	58.00
ACADM	NM_000016,NM_001127328,NM_001286042,NM_001286043,NM_001286044	120.00	190.00	82.00	130.00	101.00	77.00
CXADRP2	NR_024387	0.00	0.00	0.00	0.00	0.00	0.00
IGLL1	NM_020070,NM_152855	0.00	0.00	0.00	0.00	0.00	0.00
FOLH1	NM_001014986,NM_001193471,NM_001193472,NM_001193473,NM_004476	1.00	1.00	0.00	1.00	0.00	1.87
LRFN2	NM_020737	8.00	12.00	1.00	10.00	2.00	5.00
SYP	NM_003179	17.00	13.00	11.00	8.00	3.00	6.00
HEPH	NM_001130860,NM_001282141,NM_014799,NM_138737	0.00	0.00	0.00	0.00	0.00	0.00
LINC01036	NR_126347	0.00	0.00	0.00	0.00	0.00	0.00
GNB2L1	NM_006098	9459.00	14031.00	6119.00	12200.00	15257.00	13473.00
QRICH1	NM_017730,NM_198880	348.00	566.00	243.00	469.00	649.00	599.00
GPATCH1	NM_018025	170.00	252.00	109.00	163.00	227.00	176.00
LOC101927967	NR_110288	1.00	1.00	2.00	0.00	0.00	0.00
CEP97	NM_001303401,NM_024548	158.00	209.00	121.00	196.00	188.00	174.00
NR1I2	NM_003889,NM_022002,NM_033013	0.00	0.00	2.00	0.00	2.00	2.00
STAMBPL1	NM_020799	4.00	4.00	0.00	4.00	3.00	8.00
THAP10	NM_020147	31.00	40.00	12.00	28.00	51.00	47.00
SBSN	NM_001166034,NM_001166035,NM_198538	0.00	1.00	0.00	2.00	0.00	2.00
CTNND2	NM_001288715,NM_001288716,NM_001288717,NM_001332,NR_109988	290.00	407.00	197.00	306.00	258.00	229.00
NECAP1	NM_015509,NR_024260	229.00	303.00	165.00	217.00	285.00	227.00
BCAP31	NM_001139441,NM_001139457,NM_001256447,NM_005745	2090.00	3174.00	1323.00	1847.00	2035.00	1865.00
SPRR2C	NR_003062	0.00	0.00	0.00	0.00	0.00	0.00
LINC01100	NR_104132	0.00	0.00	0.00	0.00	0.00	0.00
CAPRIN1	NM_005898,NM_203364	1988.00	3118.00	1404.00	2616.00	3162.00	2927.00
CES1P1	NR_003276	0.00	0.00	0.00	0.00	0.00	0.00
GALM	NM_138801	3.00	13.02	2.03	22.00	28.06	21.05
TPST1	NM_003596	56.00	88.00	27.00	58.00	57.00	64.00
ABCA11P	NR_002451	34.02	62.81	24.84	59.86	66.81	42.70
LRRC8B	NM_001134476,NM_015350	176.00	227.00	136.00	182.00	213.00	146.00
DDX39A	NM_005804,NR_046366	611.00	982.00	420.00	784.00	926.00	857.00
DNAJC3	NM_006260	1071.00	1602.00	707.00	819.00	569.00	522.00
FAM106B	NR_126160	7.35	8.14	3.92	3.20	3.92	6.53
TIGD5	NM_032862	113.00	178.00	98.00	130.00	128.00	111.00
HOXB9	NM_024017	1.00	0.00	2.00	1.00	3.00	1.00
ZNF189	NM_001278231,NM_001278232,NM_001278240,NM_003452,NM_197977,NR_103480	122.00	185.00	85.00	115.00	124.00	127.00
CHPF2	NM_001284295,NM_019015	636.00	1142.00	485.00	522.00	446.00	399.00
THAP7-AS1	NR_027051,NR_027052	18.61	29.51	13.10	25.52	31.00	25.00
PRAMEF4	NM_001009611	0.00	0.00	0.00	0.00	0.00	0.00
DPP10	NM_001004360,NM_001178034,NM_001178036,NM_001178037,NM_020868	0.00	0.00	0.00	0.00	0.00	0.00
MRPL37	NM_016491	238.00	415.00	164.00	372.00	614.00	601.00
MIR4665	NR_039811	0.00	0.00	0.00	0.00	0.00	0.00
RAET1G	NM_001001788,NR_130110	3.00	3.45	1.00	3.00	2.38	5.00
OR10H2	NM_013939	0.00	0.00	0.00	0.00	0.00	0.00
LHFPL3	NM_199000	0.00	0.00	1.00	0.00	1.00	1.00
ZYG11B	NM_024646	371.00	581.00	286.00	426.00	478.00	369.00
SYTL3	NM_001009991,NM_001242384,NM_001242394,NM_001242395	2.00	10.00	5.00	6.00	4.00	5.00
C3orf33	NM_173657	48.00	56.00	34.00	38.00	28.00	18.16
LOC102724661	NR_126001	0.00	0.00	0.00	0.00	0.00	0.00
LRRC66	NM_001024611	1.00	1.00	1.00	0.00	0.00	0.00
LTB	NM_002341,NM_009588	0.00	2.00	0.00	0.00	1.00	0.00
FAM72C	NM_001287385_chr1:206138439_206155074	13.46	53.58	21.70	94.94	119.46	121.36
PMPCA	NM_001282944,NM_001282946,NM_015160	592.00	830.00	361.00	416.00	594.00	563.00
MIR4449	NR_039651	0.00	0.00	0.00	0.00	0.00	0.00
DDX11L5	NR_051986	0.00	2.84	0.00	0.00	0.00	0.00
MIR1228	NR_031597	0.00	0.00	0.00	0.00	0.00	0.00
CYSLTR1	NM_001282186,NM_001282187,NM_001282188,NM_006639	0.00	0.00	1.00	0.00	0.00	0.00
LOC101928443	NR_120529,NR_120530	0.00	1.00	0.00	1.00	1.00	0.00
ZNF12	NM_006956,NM_016265	817.00	1214.00	511.00	714.00	542.00	479.00
FUT5	NM_002034	1.00	4.61	2.00	3.00	0.00	0.51
LPP	NM_001167671,NM_001167672,NM_005578	916.51	1333.83	683.43	971.07	1198.71	993.27
FKBP6	NM_001135211,NM_001281304,NM_003602	0.00	0.00	0.00	0.00	0.00	0.00
BTBD6	NM_033271	560.00	882.00	354.00	529.00	622.00	571.00
ALDH2	NM_000690,NM_001204889	9.00	14.00	5.00	3.00	0.00	3.00
C9orf57	NM_001128618	0.00	0.00	0.00	0.00	0.00	0.00
LYSMD4	NM_001284417,NM_001284418,NM_001284419,NM_001284420,NM_001284421,NM_001284422,NM_152449	65.00	124.00	51.00	38.00	47.00	43.00
LOC102546226	NR_105021	0.00	0.00	0.00	0.00	0.00	0.00
MIR622	NR_030754	0.00	0.00	0.00	0.00	0.00	0.00
TERF1	NM_003218,NM_017489	150.00	225.00	106.95	160.00	157.00	119.00
PFN4	NM_199346	3.00	5.00	0.00	1.00	6.00	2.00
NMRK2	NM_001289117,NM_170678,NR_110316	0.00	0.00	0.00	0.00	0.00	0.00
KIRREL3-AS3	NR_040078	0.00	0.00	0.00	0.00	0.00	0.00
CHSY3	NM_175856	2.00	0.00	0.00	3.00	5.00	5.00
DERA	NM_001300779,NM_015954	82.00	140.00	54.00	129.00	147.00	132.00
SIGLEC7	NM_001277201,NM_014385,NM_016543,NR_102350	0.00	0.00	0.00	0.00	0.00	0.00
EXO5	NM_022774	44.00	58.00	24.00	72.00	71.00	65.00
BTBD2	NM_017797	193.00	316.00	170.00	351.00	493.00	413.00
SUN1	NM_001130965,NM_001171944,NM_001171945,NM_001171946,NM_025154	1292.00	2076.00	890.00	1056.00	996.00	920.00
LINC00112	NR_024028	0.00	0.00	0.00	0.00	0.00	0.00
CDC123	NM_006023	489.03	625.98	322.00	363.87	490.80	416.32
SLC4A5	NM_021196,NM_133478	58.00	86.00	36.00	88.00	93.00	99.00
TOPORS	NM_001195622,NM_005802	411.00	625.00	307.00	344.00	333.00	300.00
KIAA1033	NM_001293640,NM_015275	854.00	1233.00	589.00	749.00	730.00	632.00
FAM115A	NM_001206938,NM_001206941,NM_014719	696.00	957.00	450.00	1253.00	1185.00	1124.00
MED18	NM_001127350,NM_017638	267.00	406.00	138.00	168.00	159.00	147.00
LOC284080	NR_038230	0.00	3.00	1.00	0.00	0.00	0.00
RBM27	NM_018989	696.00	1113.00	519.00	704.00	846.00	730.00
MT1JP	NR_036677	0.00	0.00	0.00	0.00	0.00	0.00
BCKDHA	NM_000709,NM_001164783	396.00	556.00	215.00	273.00	400.00	378.00
BTNL9	NM_152547	10.00	17.00	11.00	15.00	10.00	5.00
C1orf146	NM_001012425	0.00	0.00	0.00	0.00	0.00	0.00
PIRT	NM_001101387	0.00	0.00	0.00	0.00	0.00	0.00
LOC400940	NR_026833	0.00	0.00	0.00	0.00	0.00	0.00
LINC00854	NR_047479	0.00	1.00	1.00	0.00	1.00	2.00
CSNK1G2	NM_001319	350.00	511.00	238.00	259.00	321.00	266.00
MIR629	NR_030714	0.00	0.00	0.00	0.00	0.00	0.00
RPL26L1	NM_016093	267.00	412.00	169.00	209.00	237.00	228.00
MAGEB3	NM_002365	0.00	0.00	0.00	0.00	0.00	0.00
ST8SIA6-AS1	NR_034129	0.00	0.00	2.00	1.00	1.00	0.00
PA2G4	NM_006191	908.75	1247.22	622.73	1072.57	1797.39	1637.97
LOC101930010	NR_125866	0.00	1.00	0.00	3.00	4.00	4.00
C5orf64	NM_173667,NR_126523,NR_126524,NR_126525	0.00	0.00	0.00	0.00	3.00	1.01
RGS9BP	NM_207391	18.00	41.00	13.00	36.00	23.00	22.00
PCDHGC5	NM_018929,NM_032407	8.00	11.00	10.76	2.00	8.00	10.00
CKMT2	NM_001099735,NM_001099736,NM_001825	0.00	0.00	2.00	0.00	3.00	1.00
SKIL	NM_001145097,NM_001145098,NM_001248008,NM_005414	1465.00	2019.00	971.00	989.00	1294.00	1135.00
SPC24	NM_182513	14.00	13.00	8.00	64.00	137.00	122.00
ZNF442	NM_030824	4.03	7.04	8.31	48.45	46.23	40.92
CST2	NM_001322	0.00	0.00	0.00	0.00	0.00	1.00
PRDM10	NM_020228,NM_199437,NM_199438,NM_199439	159.00	222.00	104.00	150.00	189.00	168.00
HLA-DRB6	NR_001298	1.00	2.00	1.00	2.00	2.00	1.00
FOXP2	NM_001172766,NM_001172767,NM_014491,NM_148898,NM_148899,NM_148900,NR_033766,NR_033767	2.00	2.00	0.00	12.00	8.00	2.00
DES	NM_001927	0.00	0.00	0.00	0.00	1.00	0.00
MRFAP1L1	NM_203462	563.00	813.00	367.00	541.00	427.00	389.00
VSIG8	NM_001013661	0.00	0.00	0.00	0.00	0.00	0.00
FAM71F1	NM_001282788,NM_001282789,NM_032599,NR_104242,NR_104243	0.00	0.00	1.00	0.00	0.00	0.00
LPPR3	NM_001270366,NM_024888	11.00	28.00	18.00	18.00	17.00	18.00
DTNBP1	NM_001271667,NM_001271668,NM_001271669,NM_032122,NM_183040,NR_036448	72.00	114.00	53.00	93.00	107.00	96.00
LY6H	NM_001130478,NM_001135655,NM_002347	0.00	1.00	0.00	0.00	4.00	1.00
JPH4	NM_001146028,NM_032452	1.00	3.00	4.00	2.00	0.00	0.00
F2R	NM_001992	3.60	10.67	2.00	14.00	10.00	10.00
GJC2	NM_020435	3.00	6.00	4.00	1.00	2.00	6.00
SERPINA10	NM_001100607,NM_016186	0.00	1.00	0.00	0.00	0.00	0.00
GGTLC2	NM_001282879,NM_199127	0.00	0.00	0.00	0.44	0.00	0.00
SLC1A5	NM_001145144,NM_001145145,NM_005628	1938.00	3199.00	1440.00	3620.00	4187.00	3846.00
NOP56	NM_006392,NR_027700	410.00	651.00	317.00	592.00	721.00	681.00
SFTPD	NM_003019	7.00	15.00	8.00	24.00	10.00	9.00
TGM2	NM_004613,NM_198951	12.00	9.00	5.00	9.00	81.00	60.00
RXFP1	NM_001253727,NM_001253728,NM_001253729,NM_001253730,NM_001253732,NM_001253733,NM_021634,NR_045579,NR_045580,NR_045581,NR_045582,NR_045583,NR_045584	0.00	0.00	0.00	0.00	0.00	0.00
DIDO1	NM_001193369,NM_001193370,NM_022105,NM_033081,NM_080796,NM_080797	1907.00	3151.00	1377.00	1932.00	2208.00	2036.00
LOC100506747	NR_036557	0.00	6.00	4.00	4.00	6.00	1.00
AQP7P1	NR_002817	2.00	4.45	1.00	1.00	5.00	3.00
TUFM	NM_003321	1683.00	2573.00	1060.00	1196.00	1793.00	1641.00
AZIN1	NM_001301668,NM_015878,NM_148174	2171.00	3257.00	1291.00	2524.00	2532.00	2260.00
GPR111	NM_153839	1.00	0.00	0.00	0.00	0.00	0.00
CYLC1	NM_001271680,NM_021118	0.00	0.00	0.00	0.00	0.00	0.00
FAM95C	NR_047651	9.00	18.00	13.00	12.00	6.00	7.00
ABCG5	NM_022436	0.00	0.00	0.00	0.00	0.00	0.00
SLC10A6	NM_197965	0.00	0.00	0.00	1.00	0.00	0.00
MIR6784	NR_106842	0.00	0.00	0.00	0.00	0.00	0.00
YIF1A	NM_001300861,NM_020470	385.00	603.00	256.00	359.00	493.00	397.00
LSMEM1	NM_001134468,NM_182597	12.00	20.00	3.00	8.00	8.00	8.00
NAT8B	NM_016347	0.00	0.00	0.00	0.00	3.00	0.00
MED4-AS1	NR_046511	2.28	1.35	0.00	1.39	1.80	1.58
ANKRD33	NM_001130015,NM_182608	0.00	0.00	0.00	0.00	0.00	0.00
JAZF1	NM_175061	25.00	27.00	10.00	20.00	18.00	23.00
HLA-DMA	NM_006120	14.00	20.00	10.00	7.00	8.00	9.00
RMI2	NM_152308	83.00	117.00	67.00	197.00	286.00	235.00
GSTT1	NM_000853,NM_001293807,NM_001293808,NM_001293809,NM_001293810,NM_001293811,NM_001293812,NM_001293813,NM_001293814	65.00	106.00	38.00	122.00	85.00	92.00
FBXO21	NM_015002,NM_033624	641.00	941.00	427.00	750.00	741.00	662.00
ADAMDEC1	NM_001145271,NM_001145272,NM_014479	0.00	0.00	0.00	0.00	0.00	0.00
SHC1	NM_001130040,NM_001130041,NM_003029,NM_183001	329.00	474.00	240.00	478.00	595.00	533.00
IPW	NR_023915	0.00	1.00	0.00	0.00	0.00	0.00
RPLP1	NM_001003,NM_213725	3128.00	4864.00	2092.00	4548.00	5266.00	5381.00
CSRP3	NM_003476	0.00	1.00	0.00	0.00	1.00	0.00
SP1	NM_001251825,NM_003109,NM_138473	1203.00	1912.00	949.00	1797.00	2159.00	2034.00
SEMA6A-AS1	NR_109879	1.84	0.00	1.00	4.48	0.00	1.00
SLC5A7	NM_021815	0.00	0.00	0.00	0.00	0.00	0.00
ALKBH6	NM_001297701,NM_032878,NM_198867	56.00	89.00	34.00	87.00	85.00	87.00
SNORD19B	NR_003687	0.00	0.00	0.00	0.00	0.00	0.00
MIER1	NM_001077700,NM_001077701,NM_001077702,NM_001077703,NM_001077704,NM_001146110,NM_001146111,NM_001146112,NM_001146113,NM_001278215,NM_020948	352.00	494.00	232.00	309.00	326.00	284.00
SPACA4	NM_133498	1.00	2.00	3.00	3.00	4.00	1.00
GUCA2A	NM_033553	0.00	0.00	0.00	0.00	0.00	0.00
WBSCR28	NM_182504	1.00	0.00	0.00	0.00	0.00	2.00
OPA3	NM_001017989,NM_025136	313.00	526.00	243.00	229.00	365.00	314.00
STRIP1	NM_001270768,NM_033088,NR_073071	232.00	372.00	188.00	227.00	287.00	275.00
LOC284661	NR_027088	0.00	0.00	0.00	0.00	0.00	0.00
PGPEP1	NM_001300927,NM_017712	571.00	859.00	400.00	666.00	571.00	514.00
NEK9	NM_033116	168.00	241.00	99.00	149.00	132.00	117.00
PCDH10	NM_020815,NM_032961	56.00	60.00	31.00	98.00	27.00	29.00
TSNAX	NM_005999	505.30	691.74	317.49	311.98	242.00	256.00
KIF22	NM_001256269,NM_001256270,NM_007317	851.00	1228.00	524.00	898.00	1288.00	1147.00
PPP3CC	NM_001243974,NM_001243975,NM_005605	42.00	67.00	30.00	48.00	51.00	57.00
SLC18B1	NM_052831	1.00	2.00	0.00	0.00	1.00	2.00
MGEA5	NM_001142434,NM_012215	1055.00	1737.00	835.00	1712.00	1590.00	1441.00
HARS	NM_001258040,NM_001258041,NM_001258042,NM_001289092,NM_001289093,NM_001289094,NM_002109	450.65	625.83	328.72	376.49	611.80	559.47
NAT1	NM_000662,NM_001160170,NM_001160171,NM_001160172,NM_001160173,NM_001160174,NM_001160175,NM_001160176,NM_001160179,NM_001291962	64.00	102.00	51.00	65.00	41.00	49.00
PRSS37	NM_001008270,NM_001171951	0.00	1.00	2.00	0.00	0.00	0.00
POU4F2	NM_004575	0.00	0.00	0.00	0.00	0.00	0.00
ZNF653	NM_138783	44.00	94.00	43.00	48.00	46.00	58.00
COPS7A	NM_001164093,NM_001164094,NM_001164095,NM_016319	132.00	189.00	88.00	164.00	217.00	195.00
FAM227B	NM_152647	19.63	26.10	6.29	20.35	15.99	7.41
FAM9C	NM_174901	0.00	1.00	0.00	0.00	0.00	0.00
CCDC8	NM_032040	0.00	1.00	0.00	0.00	1.00	0.00
DEFB121	NM_001011878,NM_001171832	0.00	0.00	0.00	0.00	0.00	0.00
FBXO33	NM_203301	386.00	661.00	258.00	375.00	310.00	285.00
SCARNA4	NR_003005	3.00	5.00	3.00	2.00	0.00	0.00
FSHB	NM_000510,NM_001018080	0.00	0.00	0.00	0.00	0.00	0.00
NPHP3	NM_153240	194.49	270.97	155.40	166.97	141.34	112.09
PDE10A	NM_001130690,NR_045597	16.00	22.00	9.00	6.00	6.00	5.00
LOC149373	NM_001256615	0.00	0.00	0.00	0.00	0.00	0.00
LOC100505718	NR_039986	0.00	1.00	0.00	0.00	0.00	0.00
MGC16275	NR_026914	31.00	37.00	19.00	12.00	31.00	18.00
PSAT1	NM_021154,NM_058179	43.00	75.00	26.00	24.00	20.00	33.00
ZNF112	NM_001083335,NM_013380	37.00	69.00	32.00	45.00	34.00	47.00
LSM1	NM_014462,NR_045492,NR_045493	165.47	247.00	101.00	142.00	137.66	131.00
CFTR	NM_000492	0.00	1.00	0.00	0.00	0.00	1.00
LINC00456	NR_125725	0.00	0.00	0.00	0.00	0.00	0.00
SLC6A14	NM_007231	2260.00	3255.00	1480.00	3457.00	2556.00	2325.00
REPS1	NM_001128617,NM_001286611,NM_001286612,NM_031922	270.00	405.00	182.00	354.00	416.00	348.00
SNORD53	NR_002741	0.00	0.00	0.00	0.00	0.00	0.00
CCDC23	NM_199342	60.00	115.00	46.00	58.00	51.00	54.00
ABCC1	NM_004996	496.00	811.00	400.00	385.00	544.00	475.00
ERP44	NM_015051	313.00	471.00	210.00	320.00	341.00	340.00
MKL2	NM_014048	637.00	861.00	446.00	769.00	730.00	638.00
