PeakID (cmd=annotatePeaks.pl reproducible_peaks_blacklist_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr3-879	chr3	149386662	149386909	+	1	NA	promoter-TSS (ENST00000462931.1)	lncRNA-promoter-TSS (ENST00000462931.1)	-985	ENST00000462931.1	ENSG00000243885	ENST00000462931			ENSG00000243885			lncRNA
chr6-141	chr6	97283022	97283313	+	1	NA	promoter-TSS (ENST00000275053.8)	protein_coding-promoter-TSS (ENST00000275053.8)	9	ENST00000275053.8	ENSG00000146263	ENST00000683635			MMS22L			protein_coding
chr19-376	chr19	51367974	51368195	+	1	NA	promoter-TSS (ENST00000593841.1)	protein_coding-promoter-TSS (ENST00000593841.1)	15	ENST00000600067.1	ENSG00000269403	ENST00000600067			ENSG00000269403			protein_coding
chr16-42	chr16	4290223	4290506	+	1	NA	Intergenic	Intergenic	17260	ENST00000689542.1	ENSG00000288935	ENST00000689542			ENSG00000288935			lncRNA
chr2-458	chr2	74867968	74868267	+	1	NA	TTS (ENST00000472302.1)	protein_coding-TTS (ENST00000472302.1)	13784	ENST00000472302.1	ENSG00000159399	ENST00000472302			HK2			protein_coding
chr3-495	chr3	64799128	64799336	+	1	NA	intron (ENST00000702331.1, intron 1 of 4)	lncRNA-intron (ENST00000460833.1, intron 1 of 1)	-111232	ENST00000498707.5	ENSG00000163638	ENST00000467257			ADAMTS9			protein_coding
chr3-864	chr3	138936294	138936576	+	1	NA	exon (ENST00000495287.1, exon 3 of 3)	lncRNA-exon (ENST00000495287.1, exon 3 of 3)	6143	ENST00000477059.1	ENSG00000244578	ENST00000477059			LINC01391			lncRNA
chr19-40	chr19	54449165	54449350	+	1	NA	promoter-TSS (ENST00000326764.10)	protein_coding-promoter-TSS (ENST00000326764.10)	29	ENST00000436479.1	ENSG00000167615	ENST00000376514			LENG8			protein_coding
chr1-65	chr1	113929378	113929445	+	1	NA	promoter-TSS (ENST00000369555.6)	protein_coding-promoter-TSS (ENST00000369555.6)	37	ENST00000626993.2	ENSG00000163349	ENST00000369561			HIPK1			protein_coding
chr13-30	chr13	20773393	20773509	+	1	NA	intron (ENST00000460374.1, intron 1 of 1)	protein_coding-intron (ENST00000382754.4, intron 1 of 4)	467	ENST00000382754.4	ENSG00000150456	ENST00000382754			EEF1AKMT1			protein_coding
chr1-927	chr1	247111868	247112045	+	1	NA	exon (ENST00000623686.1, exon 1 of 1)	lncRNA-exon (ENST00000623686.1, exon 1 of 1)	461	ENST00000623686.1	ENSG00000221953	ENST00000623686			LINC02897			lncRNA
chr16-487	chr16	3457969	3458246	+	1	NA	promoter-TSS (ENST00000414063.6)	protein_coding-promoter-TSS (ENST00000414063.6)	2	ENST00000648681.1	ENSG00000122390	ENST00000360862			NAA60			protein_coding
chr16-62	chr16	74607241	74607411	+	1	NA	promoter-TSS (ENST00000205061.9)	protein_coding-promoter-TSS (ENST00000205061.9)	-182	ENST00000627032.2	ENSG00000090863	ENST00000566601			GLG1			protein_coding
chr8-530	chr8	143718772	143719064	+	1	NA	promoter-TSS (ENST00000527908.1)	lncRNA-promoter-TSS (ENST00000527908.1)	-27	ENST00000527908.1	ENSG00000254548	ENST00000527908			ENSG00000254548			lncRNA
chr1-334	chr1	147670480	147670686	+	1	NA	promoter-TSS (ENST00000392988.6)	protein_coding-promoter-TSS (ENST00000392988.6)	-59	ENST00000583509.7	ENSG00000162836	ENST00000620634			ACP6			protein_coding
chr16-700	chr16	88927114	88927266	+	1	NA	intron (ENST00000563640.1, intron 1 of 2)	protein_coding-intron (ENST00000268679.9, intron 1 of 11)	10566	ENST00000561980.1	ENSG00000261226	ENST00000564646			ENSG00000261226			lncRNA
chr11-234	chr11	76783490	76783598	+	1	NA	promoter-TSS (ENST00000525167.1)	protein_coding-promoter-TSS (ENST00000525167.1)	188	ENST00000333090.5	ENSG00000182704	ENST00000333090			TSKU			protein_coding
chr3-331	chr3	101724771	101724909	+	1	NA	intron (ENST00000704369.1, intron 1 of 7)	protein_coding-intron (ENST00000341893.8, intron 1 of 10)	154	ENST00000704371.1	ENSG00000182504	ENST00000704366			CEP97			protein_coding
chr20-1786	chr20	49936147	49936431	+	1	NA	promoter-TSS (ENST00000244061.6)	protein_coding-promoter-TSS (ENST00000244061.6)	-47	ENST00000623528.3	ENSG00000124226	ENST00000623732			RNF114			protein_coding
chr14-32	chr14	68793193	68793466	+	1	NA	promoter-TSS (ENST00000439696.3)	protein_coding-promoter-TSS (ENST00000439696.3)	-262	ENST00000439696.3	ENSG00000185650	ENST00000555997			ZFP36L1			protein_coding
chr1-458	chr1	112705275	112705456	+	1	NA	promoter-TSS (ENST00000414971.1)	protein_coding-promoter-TSS (ENST00000414971.1)	-368	ENST00000534717.5	ENSG00000155366	ENST00000425265			RHOC			protein_coding
chr12-162	chr12	53220814	53221092	+	1	NA	promoter-TSS (ENST00000338561.9)	protein_coding-promoter-TSS (ENST00000338561.9)	-540	ENST00000543726.1	ENSG00000172819	ENST00000549859			RARG			protein_coding
chr16-443	chr16	89837548	89837847	+	1	NA	intron (ENST00000566337.5, intron 2 of 9)	protein_coding-intron (ENST00000378247.8, intron 1 of 14)	8999	ENST00000566337.5	ENSG00000204991	ENST00000561883			SPIRE2			protein_coding
chr9-207	chr9	129107386	129107593	+	1	NA	TTS (ENST00000455830.2)	protein_coding-TTS (ENST00000455830.2)	969	ENST00000679716.1	ENSG00000095321	ENST00000393384			CRAT			protein_coding
chr19-151	chr19	58386663	58386920	+	1	NA	promoter-TSS (ENST00000196551.8)	protein_coding-promoter-TSS (ENST00000196551.8)	67	ENST00000582477.1	ENSG00000266640	ENST00000582477			MIR4754			miRNA
chr9-251	chr9	92988482	92988600	+	1	NA	intron (ENST00000468206.6, intron 3 of 17)	protein_coding-intron (ENST00000337352.10, intron 3 of 17)	13291	ENST00000467786.1	ENSG00000127084	ENST00000468206			FGD3			protein_coding
chr7-11	chr7	100100543	100100826	+	1	NA	promoter-TSS (ENST00000359593.9)	protein_coding-promoter-TSS (ENST00000359593.9)	56	ENST00000710815.1	ENSG00000166508	ENST00000467516			MCM7			protein_coding
chr20-211	chr20	50678346	50678496	+	1	NA	intron (ENST00000327979.8, intron 1 of 21)	protein_coding-intron (ENST00000327979.8, intron 1 of 21)	13121	ENST00000327979.8	ENSG00000042062	ENST00000488529			RIPOR3			protein_coding
chr20-604	chr20	1466852	1467081	+	1	NA	promoter-TSS (ENST00000216879.9)	protein_coding-promoter-TSS (ENST00000216879.9)	-48	ENST00000476071.5	ENSG00000088833	ENST00000470376			NSFL1C			protein_coding
chr17-22	chr17	58518144	58518440	+	1	NA	promoter-TSS (ENST00000323456.9)	protein_coding-promoter-TSS (ENST00000323456.9)	-23	ENST00000687131.2	ENSG00000289147	ENST00000687131			ENSG00000289147			lncRNA
chr8-291	chr8	101474176	101474308	+	1	NA	intron (ENST00000520268.1, intron 1 of 1)	lncRNA-intron (ENST00000520268.1, intron 1 of 1)	18056	ENST00000690034.1	ENSG00000289048	ENST00000690034			ENSG00000289048			lncRNA
chr19-326	chr19	40348463	40348690	+	1	NA	promoter-TSS (ENST00000356508.9)	protein_coding-promoter-TSS (ENST00000356508.9)	-8	ENST00000392032.6	ENSG00000105223	ENST00000492243			PLD3			protein_coding
chr16-47	chr16	2251461	2251726	+	1	NA	promoter-TSS (ENST00000301729.9)	protein_coding-promoter-TSS (ENST00000301729.9)	-2	ENST00000566379.1	ENSG00000167969	ENST00000570258			ECI1			protein_coding
chr5-18	chr5	19734672	19734945	+	1	NA	intron (ENST00000515257.6, intron 2 of 8)	protein_coding-intron (ENST00000274170.8, intron 2 of 10)	69220	ENST00000508350.1	ENSG00000145526	ENST00000511423			CDH18			protein_coding
chr1-571	chr1	1764312	1764423	+	1	NA	intron (ENST00000492845.6, intron 2 of 5)	protein_coding-intron (ENST00000341426.9, intron 2 of 11)	-5792	ENST00000342348.9	ENSG00000008130	ENST00000492845			NADK			protein_coding
chr22-9	chr22	19806605	19806893	+	1	NA	exon (ENST00000329517.11, exon 6 of 8)	protein_coding-exon (ENST00000329517.11, exon 6 of 8)	14455	ENST00000424559.2	ENSG00000235776	ENST00000424559			RPL7AP70			processed_pseudogene
chr20-1601	chr20	62482201	62482443	+	1	NA	Intergenic	Intergenic	4452	ENST00000606283.1	ENSG00000272050	ENST00000606283			ENSG00000272050			lncRNA
chr20-890	chr20	18567281	18567562	+	1	NA	promoter-TSS (ENST00000411646.2)	protein_coding-promoter-TSS (ENST00000411646.2)	-11	ENST00000411646.2	ENSG00000232388	ENST00000411646			SMIM26			protein_coding
chr12-16	chr12	56300065	56300336	+	1	NA	promoter-TSS (ENST00000547298.5)	protein_coding-promoter-TSS (ENST00000547298.5)	83	ENST00000550044.1	ENSG00000062485	ENST00000551430			CS			protein_coding
chr12-295	chr12	122500915	122501178	+	1	NA	promoter-TSS (ENST00000536663.5)	protein_coding-promoter-TSS (ENST00000536663.5)	-114	ENST00000633063.3	ENSG00000033030	ENST00000540586			ZCCHC8			protein_coding
chr21-33	chr21	25607370	25607667	+	1	NA	promoter-TSS (ENST00000307301.11)	protein_coding-promoter-TSS (ENST00000307301.11)	-1	ENST00000307301.11	ENSG00000154719	ENST00000352957			MRPL39			protein_coding
chr7-8	chr7	159015474	159015773	+	1	NA	intron (ENST00000447563.5, intron 1 of 3)	lncRNA-intron (ENST00000438049.5, intron 1 of 4)	-1785	ENST00000413238.1	ENSG00000231419	ENST00000438049			LINC00689			lncRNA
chr19-311	chr19	35643509	35643645	+	1	NA	promoter-TSS (ENST00000591135.1)	protein_coding-promoter-TSS (ENST00000591135.1)	-89	ENST00000591135.1	ENSG00000105672	ENST00000479824			ETV2			protein_coding
chr12-397	chr12	57632993	57633260	+	1	NA	promoter-TSS (ENST00000341156.9)	protein_coding-promoter-TSS (ENST00000341156.9)	25	ENST00000553142.5	ENSG00000135454	ENST00000548888			B4GALNT1			protein_coding
chr2-99	chr2	74457966	74458005	+	1	NA	promoter-TSS (ENST00000233615.7)	protein_coding-promoter-TSS (ENST00000233615.7)	-415	ENST00000393972.7	ENSG00000239779	ENST00000473467			WBP1			protein_coding
chr8-159	chr8	127911282	127911509	+	1	NA	promoter-TSS (ENST00000658242.1)	lncRNA-promoter-TSS (ENST00000658242.1)	-609	ENST00000658242.1	ENSG00000249859	ENST00000654369			PVT1			lncRNA
chr4-166	chr4	98929311	98929590	+	1	NA	promoter-TSS (ENST00000280892.10)	protein_coding-promoter-TSS (ENST00000280892.10)	-317	ENST00000450253.7	ENSG00000151247	ENST00000505194			EIF4E			protein_coding
chr16-250	chr16	28924753	28924895	+	1	NA	promoter-TSS (ENST00000561501.5)	protein_coding-promoter-TSS (ENST00000561501.5)	3	ENST00000568703.5	ENSG00000177548	ENST00000562590			RABEP2			protein_coding
chr5-79	chr5	80487867	80488151	+	1	NA	promoter-TSS (ENST00000282226.5)	protein_coding-promoter-TSS (ENST00000282226.5)	23	ENST00000511718.5	ENSG00000152380	ENST00000511718			FAM151B			protein_coding
chr10-86	chr10	30447091	30447365	+	1	NA	intron (ENST00000542547.5, intron 2 of 7)	protein_coding-intron (ENST00000263056.6, intron 3 of 8)	8051	ENST00000430603.1	ENSG00000107968	ENST00000542547			MAP3K8			protein_coding
chr1-162	chr1	247078543	247078612	+	1	NA	intron (ENST00000366503.3, intron 1 of 3)	protein_coding-intron (ENST00000366503.3, intron 1 of 3)	159	ENST00000465049.6	ENSG00000135747	ENST00000465049			ZNF670-ZNF695			protein_coding
chr17-1170	chr17	59851961	59852261	+	1	NA	Intergenic	Intergenic	-4567	ENST00000364654.1	ENSG00000201524	ENST00000364654			RNU6-450P			snRNA
chr20-532	chr20	47801569	47801749	+	1	NA	Intergenic	Intergenic	-15043	ENST00000484875.5	ENSG00000196562	ENST00000474450			SULF2			protein_coding
chr15-268	chr15	89837224	89837462	+	1	NA	TTS (ENST00000558186.1)	protein_coding-TTS (ENST00000558186.1)	611	ENST00000558926.1	ENSG00000157823	ENST00000557999			AP3S2			protein_coding
chr12-272	chr12	109477387	109477669	+	1	NA	promoter-TSS (ENST00000228495.11)	protein_coding-promoter-TSS (ENST00000228495.11)	-100	ENST00000539843.5	ENSG00000151148	ENST00000539843			UBE3B			protein_coding
chr1-2	chr1	113904867	113905140	+	1	NA	promoter-TSS (ENST00000256658.8)	protein_coding-promoter-TSS (ENST00000256658.8)	17	ENST00000432415.6	ENSG00000134262	ENST00000369564			AP4B1			protein_coding
chr7-43	chr7	101973168	101973427	+	1	NA	intron (ENST00000606749.1, intron 1 of 4)	protein_coding-intron (ENST00000292535.12, intron 2 of 23)	13181	ENST00000606640.1	ENSG00000272219	ENST00000606640			ENSG00000272219			lncRNA
chr20-2068	chr20	45363078	45363326	+	1	NA	promoter-TSS (ENST00000243918.10)	protein_coding-promoter-TSS (ENST00000243918.10)	2	ENST00000419593.5	ENSG00000254806	ENST00000475242			SYS1-DBNDD2			protein_coding
chr8-484	chr8	123541186	123541406	+	1	NA	promoter-TSS (ENST00000443022.2)	protein_coding-promoter-TSS (ENST00000443022.2)	-90	ENST00000443022.2	ENSG00000156804	ENST00000517956			FBXO32			protein_coding
chr13-135	chr13	46553704	46553780	+	1	NA	intron (ENST00000443945.6, intron 1 of 12)	protein_coding-intron (ENST00000311191.10, intron 1 of 18)	542	ENST00000389798.7	ENSG00000136141	ENST00000463929			LRCH1			protein_coding
chr7-67	chr7	5822790	5823087	+	1	NA	promoter-TSS (ENST00000421890.5)	lncRNA-promoter-TSS (ENST00000421890.5)	-190	ENST00000686456.1	ENSG00000291099	ENST00000686456			ENSG00000291099			lncRNA
chr2-142	chr2	71068709	71068847	+	1	NA	promoter-TSS (ENST00000489309.5)	protein_coding-promoter-TSS (ENST00000489309.5)	113	ENST00000472519.5	ENSG00000124357	ENST00000455197			NAGK			protein_coding
chr18-4	chr18	267949	268234	+	1	NA	promoter-TSS (ENST00000261600.11)	protein_coding-promoter-TSS (ENST00000261600.11)	-22	ENST00000581677.2	ENSG00000263884	ENST00000581677			THOC1-DT			lncRNA
chr16-518	chr16	12024463	12024721	+	1	NA	intron (ENST00000569801.5, intron 3 of 5)	protein_coding-intron (ENST00000564111.5, intron 3 of 7)	-14118	ENST00000568359.1	ENSG00000048471	ENST00000564111			SNX29			protein_coding
chr5-137	chr5	177006736	177006873	+	1	NA	promoter-TSS (ENST00000377227.8)	protein_coding-promoter-TSS (ENST00000377227.8)	-25	ENST00000511320.6	ENSG00000087206	ENST00000503273			UIMC1			protein_coding
chr2-500	chr2	120541344	120541569	+	1	NA	Intergenic	Intergenic	2870	ENST00000413991.1	ENSG00000237614	ENST00000413991			ENSG00000237614			lncRNA
chr12-287	chr12	120201196	120201213	+	1	NA	promoter-TSS (ENST00000228306.8)	protein_coding-promoter-TSS (ENST00000228306.8)	7	ENST00000228306.8	ENSG00000089157	ENST00000552292			RPLP0			protein_coding
chr7-160	chr7	157760338	157760594	+	1	NA	intron (ENST00000409483.5, intron 11 of 21)	protein_coding-intron (ENST00000389413.7, intron 11 of 21)	-20010	ENST00000448541.1	ENSG00000231515	ENST00000448541			ENSG00000231515			lncRNA
chr6-21	chr6	35468165	35468403	+	1	NA	promoter-TSS (ENST00000322203.7)	protein_coding-promoter-TSS (ENST00000322203.7)	-117	ENST00000322203.7	ENSG00000198755	ENST00000490335			RPL10A			protein_coding
chr7-70	chr7	68813797	68813890	+	1	NA	Intergenic	Intergenic	-89795	ENST00000410496.1	ENSG00000222428	ENST00000410496			RNA5SP231			rRNA_pseudogene
chr16-495	chr16	4351179	4351474	+	1	NA	promoter-TSS (ENST00000318059.8)	protein_coding-promoter-TSS (ENST00000318059.8)	-5	ENST00000318059.8	ENSG00000217930	ENST00000318059			PAM16			protein_coding
chr12-324	chr12	9648467	9648693	+	1	NA	promoter-TSS (ENST00000546259.1)	lncRNA-promoter-TSS (ENST00000546259.1)	413	ENST00000574035.5	ENSG00000291107	ENST00000574035			ENSG00000291107			lncRNA
chr20-53	chr20	50440840	50441137	+	1	NA	Intergenic	Intergenic	-11505	ENST00000497504.3	ENSG00000244376	ENST00000497504			RN7SL636P			misc_RNA
chr11-171	chr11	118910896	118911077	+	1	NA	promoter-TSS (ENST00000334801.7)	protein_coding-promoter-TSS (ENST00000334801.7)	-82	ENST00000334801.7	ENSG00000186174	ENST00000683865			BCL9L			protein_coding
chr15-157	chr15	69388315	69388614	+	1	NA	intron (ENST00000561153.5, intron 5 of 8)	protein_coding-intron (ENST00000340965.4, intron 3 of 6)	-2728	ENST00000560870.1	ENSG00000259645	ENST00000560870			ENSG00000259645			lncRNA
chr21-105	chr21	39527931	39528182	+	1	NA	exon (ENST00000411867.1, exon 2 of 2)	processed_pseudogene-exon (ENST00000411867.1, exon 2 of 2)	2473	ENST00000411867.1	ENSG00000235012	ENST00000411867			JCADP1			processed_pseudogene
chr19-96	chr19	58476028	58476202	+	1	NA	promoter-TSS (ENST00000335841.8)	protein_coding-promoter-TSS (ENST00000335841.8)	-31	ENST00000594468.1	ENSG00000083838	ENST00000594468			ZNF446			protein_coding
chr8-146	chr8	102653809	102654091	+	1	NA	exon (ENST00000395884.3, exon 1 of 4)	protein_coding-exon (ENST00000395884.3, exon 1 of 4)	425	ENST00000395884.3	ENSG00000155090	ENST00000395884			KLF10			protein_coding
chr19-348	chr19	45769487	45769647	+	1	NA	promoter-TSS (ENST00000317578.7)	protein_coding-promoter-TSS (ENST00000317578.7)	-315	ENST00000317578.7	ENSG00000177045	ENST00000317578			SIX5			protein_coding
chr1-839	chr1	174022525	174022767	+	1	NA	promoter-TSS (ENST00000367696.7)	protein_coding-promoter-TSS (ENST00000367696.7)	137	ENST00000688280.1	ENSG00000224977	ENST00000688280			RC3H1-DT			lncRNA
chr9-199	chr9	125143551	125143798	+	1	NA	promoter-TSS (ENST00000336505.11)	protein_coding-promoter-TSS (ENST00000336505.11)	-146	ENST00000336505.11	ENSG00000173611	ENST00000373549			SCAI			protein_coding
chr9-172	chr9	88536258	88536357	+	1	NA	intron (ENST00000478686.1, intron 1 of 1)	protein_coding-intron (ENST00000375854.8, intron 1 of 1)	1121	ENST00000478686.1	ENSG00000130045	ENST00000649870			NXNL2			protein_coding
chr11-169	chr11	118623312	118623510	+	1	NA	promoter-TSS (ENST00000617208.1)	protein_coding-promoter-TSS (ENST00000617208.1)	-673	ENST00000617208.1	ENSG00000019144	ENST00000530994			PHLDB1			protein_coding
chr12-27	chr12	54892174	54892378	+	1	NA	intron (ENST00000652289.1, intron 4 of 4)	protein_coding-intron (ENST00000652289.1, intron 4 of 4)	37760	ENST00000547958.1	ENSG00000172551	ENST00000652289			MUCL1			protein_coding
chr3-369	chr3	170049729	170049829	+	1	NA	promoter-TSS (ENST00000485735.6)	protein_coding-promoter-TSS (ENST00000485735.6)	-76	ENST00000485735.6	ENSG00000173890	ENST00000491740			GPR160			protein_coding
chr7-228	chr7	141738181	141738413	+	1	NA	promoter-TSS (ENST00000265304.11)	protein_coding-promoter-TSS (ENST00000265304.11)	-37	ENST00000612337.4	ENSG00000106028	ENST00000467681			SSBP1			protein_coding
chr21-48	chr21	42893336	42893574	+	1	NA	intron (ENST00000460740.1, intron 1 of 1)	protein_coding-intron (ENST00000340344.4, intron 1 of 2)	134	ENST00000460740.1	ENSG00000160194	ENST00000460259			NDUFV3			protein_coding
chr6-172	chr6	29628775	29629070	+	1	NA	promoter-TSS (ENST00000355973.7)	protein_coding-promoter-TSS (ENST00000355973.7)	-884	ENST00000355973.7	ENSG00000204681	ENST00000473774			GABBR1			protein_coding
chr5-96	chr5	1594510	1594735	+	1	NA	promoter-TSS (ENST00000436493.2)	lncRNA-promoter-TSS (ENST00000436493.2)	-2	ENST00000436493.2	ENSG00000291055	ENST00000436493			ENSG00000291055			lncRNA
chr19-197	chr19	36137051	36137278	+	1	NA	Intergenic	Intergenic	-2789	ENST00000589146.5	ENSG00000126247	ENST00000592354			CAPNS1			protein_coding
chr6-199	chr6	43856215	43856492	+	1	NA	Intergenic	Intergenic	-4020	ENST00000451910.1	ENSG00000223469	ENST00000451910			ENSG00000223469			lncRNA
chr16-71	chr16	87391942	87392205	+	1	NA	promoter-TSS (ENST00000268607.10)	protein_coding-promoter-TSS (ENST00000268607.10)	34	ENST00000569412.5	ENSG00000103264	ENST00000563956			FBXO31			protein_coding
chr14-2	chr14	69191370	69191643	+	1	NA	promoter-TSS (ENST00000312994.9)	protein_coding-promoter-TSS (ENST00000312994.9)	-5	ENST00000409018.7	ENSG00000081177	ENST00000409949			EXD2			protein_coding
chr2-76	chr2	85561384	85561657	+	1	NA	promoter-TSS (ENST00000233838.9)	protein_coding-promoter-TSS (ENST00000233838.9)	0	ENST00000688788.1	ENSG00000115486	ENST00000688788			GGCX			protein_coding
chr19-36	chr19	33047439	33047670	+	1	NA	intron (ENST00000588388.5, intron 1 of 13)	protein_coding-intron (ENST00000254260.8, intron 1 of 14)	-3961	ENST00000587471.1	ENSG00000267611	ENST00000587471			ENSG00000267611			processed_pseudogene
chr11-198	chr11	47947201	47947369	+	1	NA	Intergenic	Intergenic	-33140	ENST00000698881.1	ENSG00000149177	ENST00000534219			PTPRJ			protein_coding
chr20-1315	chr20	37289622	37289867	+	1	NA	promoter-TSS (ENST00000373606.8)	protein_coding-promoter-TSS (ENST00000373606.8)	81	ENST00000397152.7	ENSG00000101363	ENST00000373606			MANBAL			protein_coding
chr11-68	chr11	2193359	2193657	+	1	NA	Intergenic	Intergenic	20445	ENST00000584128.1	ENSG00000265258	ENST00000584128			MIR4686			miRNA
chr20-195	chr20	19784063	19784306	+	1	NA	intron (ENST00000412571.1, intron 1 of 2)	protein_coding-intron (ENST00000255006.12, intron 1 of 12)	-15389	ENST00000426012.1	ENSG00000132669	ENST00000255006			RIN2			protein_coding
chr20-26	chr20	47204375	47204667	+	1	NA	Intergenic	Intergenic	37554	ENST00000584070.1	ENSG00000264901	ENST00000584070			MIR3616			miRNA
chr12-82	chr12	2795921	2796199	+	1	NA	promoter-TSS (ENST00000538622.1)	protein_coding-promoter-TSS (ENST00000538622.1)	403	ENST00000540260.1	ENSG00000004478	ENST00000543769			FKBP4			protein_coding
chr7-107	chr7	158377908	158378193	+	1	NA	intron (ENST00000389416.8, intron 1 of 21)	protein_coding-intron (ENST00000389413.7, intron 2 of 21)	-55299	ENST00000690805.1	ENSG00000289418	ENST00000690805			ENSG00000289418			lncRNA
chr9-139	chr9	128635489	128635586	+	1	NA	TTS (ENST00000451652.5)	protein_coding-TTS (ENST00000451652.5)	526	ENST00000483181.1	ENSG00000119333	ENST00000372715			DYNC2I2			protein_coding
chr16-608	chr16	68002553	68002804	+	1	NA	exon (ENST00000571212.1, exon 4 of 4)	unprocessed_pseudogene-exon (ENST00000571212.1, exon 4 of 4)	-2092	ENST00000575203.5	ENSG00000167261	ENST00000575510			DPEP2			protein_coding
chr2-201	chr2	86807483	86807691	+	1	NA	promoter-TSS (ENST00000699437.1)	protein_coding-promoter-TSS (ENST00000699437.1)	4	ENST00000699439.1	ENSG00000153563	ENST00000699436			CD8A			protein_coding
chr1-74	chr1	26695518	26695723	+	1	NA	promoter-TSS (ENST00000324856.13)	protein_coding-promoter-TSS (ENST00000324856.13)	-395	ENST00000324856.13	ENSG00000117713	ENST00000636794			ARID1A			protein_coding
chr7-396	chr7	36303451	36303650	+	1	NA	Intergenic	Intergenic	-2081	ENST00000419980.1	ENSG00000234457	ENST00000419980			ENSG00000234457			processed_pseudogene
chr17-1607	chr17	60056997	60057230	+	1	NA	exon (ENST00000184956.11, exon 12 of 20)	protein_coding-exon (ENST00000184956.11, exon 12 of 20)	-1515	ENST00000591683.1	ENSG00000068097	ENST00000592664			HEATR6			protein_coding
chr2-93	chr2	45611146	45611423	+	1	NA	promoter-TSS (ENST00000263736.5)	protein_coding-promoter-TSS (ENST00000263736.5)	-17	ENST00000263736.5	ENSG00000068784	ENST00000263736			SRBD1			protein_coding
chr19-362	chr19	48810901	48811183	+	1	NA	promoter-TSS (ENST00000316273.11)	protein_coding-promoter-TSS (ENST00000316273.11)	-13	ENST00000316273.11	ENSG00000105552	ENST00000599246			BCAT2			protein_coding
chr13-59	chr13	19782087	19782235	+	1	NA	intron (ENST00000619300.4, intron 2 of 9)	protein_coding-intron (ENST00000338910.9, intron 1 of 8)	756	ENST00000471658.5	ENSG00000121390	ENST00000497722			PSPC1			protein_coding
chr8-269	chr8	94895722	94895807	+	1	NA	promoter-TSS (ENST00000308108.9)	protein_coding-promoter-TSS (ENST00000308108.9)	-3	ENST00000523378.5	ENSG00000156170	ENST00000396111			NDUFAF6			protein_coding
chr1-225	chr1	52698227	52698454	+	1	NA	promoter-TSS (ENST00000371538.5)	protein_coding-promoter-TSS (ENST00000371538.5)	7	ENST00000371538.5	ENSG00000162377	ENST00000371538			COA7			protein_coding
chr5-73	chr5	40755945	40756143	+	1	NA	promoter-TSS (ENST00000337702.5)	protein_coding-promoter-TSS (ENST00000337702.5)	-81	ENST00000636106.1	ENSG00000113638	ENST00000636106			TTC33			protein_coding
chr15-24	chr15	101295157	101295446	+	1	NA	promoter-TSS (ENST00000254193.11)	protein_coding-promoter-TSS (ENST00000254193.11)	-19	ENST00000558036.5	ENSG00000131876	ENST00000558059			SNRPA1			protein_coding
chr9-21	chr9	127545391	127545639	+	1	NA	intron (ENST00000373314.7, intron 1 of 13)	protein_coding-intron (ENST00000373312.4, intron 1 of 13)	-18294	ENST00000476091.1	ENSG00000136830	ENST00000476091			NIBAN2			protein_coding
chr1-252	chr1	146035564	146035846	+	1	NA	intron (ENST00000636675.1, intron 1 of 2)	protein_coding-intron (ENST00000636675.1, intron 1 of 2)	1041	ENST00000636675.1	ENSG00000168509	ENST00000497365			HJV			protein_coding
chr2-542	chr2	178112311	178112530	+	1	NA	promoter-TSS (ENST00000286070.10)	protein_coding-promoter-TSS (ENST00000286070.10)	-4	ENST00000424000.6	ENSG00000155636	ENST00000424099			RBM45			protein_coding
chr14-366	chr14	69457412	69457429	+	1	NA	intron (ENST00000556605.5, intron 6 of 6)	protein_coding-intron (ENST00000031146.8, intron 5 of 5)	2719	ENST00000554023.1	ENSG00000029364	ENST00000555840			SLC39A9			protein_coding
chr7-49	chr7	157289685	157289762	+	1	NA	Intergenic	Intergenic	-7037	ENST00000442017.1	ENSG00000229660	ENST00000442017			ENSG00000229660			lncRNA
chr2-134	chr2	38462361	38462549	+	1	NA	intron (ENST00000421463.6, intron 4 of 4)	lncRNA-intron (ENST00000421463.6, intron 4 of 4)	659	ENST00000437979.1	ENSG00000231367	ENST00000421463			LINC02613			lncRNA
chr7-250	chr7	5781486	5781744	+	1	NA	promoter-TSS (ENST00000389902.8)	protein_coding-promoter-TSS (ENST00000389902.8)	5	ENST00000416985.5	ENSG00000011275	ENST00000479541			RNF216			protein_coding
chr17-3	chr17	59964508	59964797	+	1	NA	promoter-TSS (ENST00000305783.13)	protein_coding-promoter-TSS (ENST00000305783.13)	60	ENST00000586083.5	ENSG00000189050	ENST00000466544			RNFT1			protein_coding
chr17-208	chr17	61486202	61486241	+	1	NA	Intergenic	Intergenic	7858	ENST00000586874.2	ENSG00000121075	ENST00000586874			TBX4			protein_coding
chr2-594	chr2	231642670	231642868	+	1	NA	Intergenic	Intergenic	3504	ENST00000481141.3	ENSG00000239202	ENST00000481141			RN7SL499P			misc_RNA
